date,00300,00681,00915,00400,00930,80154,00600,00955,00010,00605,00410,00945,00440,00405,00095,00660,00950,71846,00940,00618,00665,70303,00925,00935
1986-07-22,9.5,,43.0,8.2,1.5,1.0,0.3,9.3,24.0,0.17,134.0,4.7,,1.7,250.0,0.031,0.1,0.026,1.9,0.1,0.02,0.19,5.9,0.8
1986-08-12,10.1,,42.0,8.2,1.5,0.0,0.3,8.5,24.5,0.18,126.0,5.0,,1.6,262.0,0.031,0.1,0.026,1.8,0.1,0.01,0.21,5.9,0.8
1986-11-24,9.6,,48.0,7.9,1.9,22.0,0.3,7.0,11.0,0.2,146.0,6.0,183.0,3.7,283.0,0.031,0.1,0.013,2.4,0.1,0.25,0.23,6.7,1.3
1986-12-15,9.4,,50.0,8.2,1.8,16.0,0.9,7.0,8.0,0.8,149.0,6.9,183.0,1.9,292.0,0.399,0.1,0.013,2.9,0.1,,0.2,6.6,0.9
1987-03-17,7.5,,43.0,8.2,1.9,12.0,0.8,6.0,13.0,0.68,124.0,7.1,155.0,1.6,250.0,0.031,0.2,0.013,4.3,0.1,0.01,0.19,5.6,0.4
1987-05-27,10.2,,42.0,8.2,1.9,0.0,0.6,8.3,19.0,0.49,117.0,6.0,145.0,1.7,242.0,0.031,0.1,0.052,3.4,0.1,0.01,0.18,5.2,0.1
1987-07-28,12.2,,45.0,8.4,1.8,0.0,0.57,9.7,30.5,0.4,136.0,5.4,145.0,0.9,253.0,0.031,0.1,0.013,1.6,0.17,0.02,0.21,6.9,0.8
1987-08-27,6.4,,44.0,8.2,2.5,0.0,1.5,9.1,24.5,1.4,141.0,7.0,177.0,1.8,264.0,0.031,0.1,0.013,1.6,0.1,0.02,0.21,6.4,0.3
1987-11-05,9.2,,47.0,8.3,2.4,1.0,0.5,7.8,12.5,0.37,,6.3,,1.6,321.0,0.031,0.1,0.026,3.0,0.1,0.01,0.22,7.4,0.2
1988-01-26,9.6,,40.0,8.3,1.2,1.0,0.3,5.9,4.0,0.19,,8.1,,1.1,229.0,0.031,0.1,0.013,1.5,0.1,0.01,0.17,5.4,0.7
1988-04-28,10.5,,46.0,8.2,2.1,23.0,0.4,7.4,15.0,0.27,,7.2,,1.5,265.0,0.031,0.1,0.026,1.7,0.1,0.02,0.2,5.3,2.1
1988-06-09,9.6,,48.0,8.0,2.2,17.0,0.4,8.9,23.0,0.29,,5.3,,3.3,277.0,0.061,0.1,0.013,2.3,0.1,0.01,0.21,7.3,1.0
1988-08-25,8.3,,46.0,8.1,2.7,3.0,0.5,9.3,25.5,0.36,,4.1,,2.5,265.0,0.031,0.1,0.039,2.0,0.1,0.01,0.2,6.9,0.2
1988-09-08,9.2,,46.0,7.9,2.5,4.0,0.4,8.0,19.0,0.3,,4.5,,3.5,275.0,0.031,0.1,0.013,2.2,0.1,0.01,0.21,7.5,0.2
1988-10-19,9.2,,47.0,7.8,2.4,24.0,0.3,7.3,14.0,0.2,,5.1,,5.2,289.0,0.031,0.1,0.013,2.0,0.1,0.01,0.23,7.6,0.3
1988-12-07,9.6,,46.0,8.0,2.2,10.0,0.38,7.0,8.5,0.2,,7.2,,2.6,256.0,0.031,0.1,0.013,1.8,0.18,0.01,0.21,6.0,0.3
1989-03-01,11.1,,42.0,7.2,2.0,8.0,0.3,7.0,7.5,0.2,,7.1,,11.0,247.0,0.031,0.1,0.013,1.3,0.1,0.01,0.17,4.9,0.2
1989-04-19,10.1,,49.0,8.2,1.9,22.0,0.3,7.7,14.0,0.19,,6.0,,1.6,265.0,0.031,0.1,0.013,1.7,0.1,0.01,0.21,5.3,0.4
1989-06-14,9.4,,41.0,8.3,1.8,3.0,0.4,7.7,16.0,0.28,,5.0,,1.2,242.0,0.031,0.1,0.013,1.0,0.1,0.14,0.18,4.9,0.1
1989-08-30,7.9,,45.0,8.1,2.1,3.0,0.3,9.0,24.0,0.2,,4.0,,2.4,273.0,0.031,0.1,0.013,2.0,0.1,0.01,0.2,6.1,0.2
1989-11-20,7.9,,52.0,8.0,1.7,32.0,0.3,7.1,13.0,0.18,,4.0,,3.5,308.0,0.031,0.1,0.026,2.0,0.1,0.01,0.22,7.0,0.8
1989-12-11,8.7,,50.0,8.2,1.7,47.0,0.3,6.6,6.0,0.18,,5.0,,1.7,292.0,0.031,0.1,0.026,2.3,0.1,0.01,0.22,5.8,0.7
1990-02-13,10.5,,38.0,8.0,1.1,3.0,0.3,5.7,11.0,0.19,106.0,7.0,,2.1,235.0,0.031,0.1,0.013,1.4,0.1,0.01,0.19,4.7,0.7
1990-04-09,11.0,,46.0,8.2,1.1,13.0,0.3,6.8,12.5,0.2,,9.0,,1.6,220.0,0.031,0.2,0.013,1.7,0.1,0.01,0.2,4.8,0.7
1990-06-27,8.1,,50.0,8.0,1.6,14.0,0.3,8.8,27.0,0.2,144.0,4.3,,2.8,265.0,0.031,0.2,0.013,3.5,0.1,0.01,0.21,5.5,0.7
1990-08-29,6.8,,44.0,7.9,1.6,5.0,0.3,9.1,26.0,0.19,143.0,3.4,,3.5,270.0,0.031,0.2,0.013,3.4,0.1,0.01,0.2,5.9,0.8
1990-10-26,9.6,,48.0,8.3,1.7,5.0,0.3,6.6,7.5,0.18,,5.2,,1.4,272.0,0.031,0.1,0.026,3.7,0.1,0.01,0.21,6.3,0.8
1990-11-29,,,48.0,,1.2,,,7.3,,,,5.7,,,,,0.1,,3.3,,,0.21,5.7,0.8
1990-12-11,12.2,,50.0,7.8,1.4,3.0,0.3,6.7,6.5,0.18,,5.4,,4.4,282.0,0.031,0.3,0.026,2.9,0.1,0.01,0.21,6.5,0.7
1991-02-13,11.2,,47.0,8.2,1.4,1.0,0.3,5.9,10.0,0.18,,5.6,,1.6,232.0,0.031,0.1,0.026,3.0,0.1,0.01,0.19,5.6,0.7
1991-04-10,10.663636363636364,,41.0,8.290909090909091,1.2,1.0,0.25,7.2,11.818181818181818,0.2,,5.0,,1.3,213.54545454545453,0.031,0.1,0.013,2.5,0.079,0.01,0.21,5.1,0.7
1991-06-24,8.0,,49.0,8.1,1.2,3.0,0.26,8.5,23.5,0.2,,4.3,,2.0,260.0,0.031,0.1,0.013,0.7,0.056,0.01,0.2,5.3,0.7
1991-09-05,8.4,,50.0,8.3,1.8,1.0,0.27,8.3,23.0,0.2,,4.7,,1.4,255.0,0.031,0.1,0.013,0.9,0.06,0.01,0.2,5.9,0.8
1991-10-08,9.6,,49.0,8.1,1.5,8.0,0.25,7.0,14.5,0.19,,4.5,,2.4,278.0,0.031,0.1,0.013,3.0,0.05,0.01,0.21,6.6,0.8
1991-12-02,8.8,,26.0,7.9,0.8,39.0,0.44,7.2,11.0,0.28,,5.2,,1.7,133.0,0.031,0.2,0.013,1.7,0.15,0.04,0.12,2.3,0.8
1992-02-20,11.2,,44.0,8.0,1.3,1.0,0.25,6.1,7.5,0.18,,5.5,,2.3,251.0,0.031,0.1,0.026,0.9,0.05,0.01,0.19,4.8,0.7
1992-04-14,8.6,,49.0,8.2,1.2,6.0,0.25,7.8,17.0,0.18,,5.4,,1.8,262.0,0.031,0.1,0.026,3.0,0.054,0.01,0.21,5.2,0.7
1992-06-03,8.8,,49.0,7.8,1.3,2.0,0.29,7.3,15.5,0.2,,4.5,,4.1,268.0,0.031,0.1,0.013,2.3,0.11,0.03,0.22,4.5,0.7
1992-08-25,7.4,,48.0,8.2,1.4,1.0,0.26,8.5,22.0,0.18,,3.7,,1.6,275.0,0.031,0.1,0.026,3.4,0.059,0.01,0.22,6.0,0.8
1992-11-17,7.8,,46.0,7.9,1.1,11.0,0.25,6.9,10.0,0.18,,5.2,,3.6,278.0,0.031,0.1,0.026,1.3,0.05,0.01,0.22,6.1,0.8
1993-01-21,10.9,,44.0,8.0,1.1,13.0,0.58,6.9,5.5,0.17,,5.7,,2.4,249.0,0.031,0.1,0.039,1.5,0.36,0.01,0.18,4.1,0.7
1993-03-09,12.2,,46.0,7.8,1.2,7.0,0.44,6.8,8.5,0.18,,6.1,,3.7,259.0,0.031,0.1,0.026,1.6,0.21,0.03,0.2,4.7,0.6
1993-04-30,9.0,1.3,43.0,8.6,1.1,8.0,0.36,8.1,10.0,0.3,,6.0,,0.5,226.0,0.031,0.1,0.013,1.2,0.057,0.01,0.19,3.5,0.7
1993-05-27,9.1,0.8,50.0,8.3,1.2,35.0,0.27,7.7,13.0,0.18,,5.2,,1.5,298.0,0.031,0.1,0.026,1.5,0.072,0.01,0.22,4.8,0.7
1993-06-30,6.8,0.9,50.0,8.3,1.4,31.0,0.26,8.9,21.5,0.18,,4.0,,1.5,261.0,0.061,0.1,0.026,3.1,0.059,0.01,0.22,5.6,0.7
1993-07-22,8.8,1.0,43.0,8.3,1.4,49.0,0.25,9.4,25.0,0.18,,3.6,,1.4,265.0,0.031,0.1,0.026,1.8,0.053,0.01,0.19,5.3,0.7
1993-08-25,6.6,0.9,47.0,7.8,1.5,,0.25,9.8,22.5,0.18,,3.8,,4.4,240.0,0.031,0.1,0.026,1.9,0.05,0.01,0.21,6.1,0.8
1993-09-23,6.8,0.8,47.0,8.0,1.3,57.0,0.26,7.8,20.0,0.19,,4.3,,2.7,282.0,0.031,0.2,0.013,1.7,0.057,0.01,0.2,5.8,0.7
1993-10-20,,2.0,48.0,8.1,1.2,30.0,0.31,7.6,17.0,0.18,,4.6,,1.9,273.0,0.031,0.1,0.026,2.5,0.11,0.02,0.21,5.5,1.0
1993-12-01,11.5,0.9,43.0,7.9,1.1,12.0,0.27,6.2,6.5,0.18,,5.9,,3.1,269.0,0.031,0.1,0.026,1.4,0.065,0.03,0.21,5.8,0.6
1993-12-15,12.0,1.1,41.0,8.2,1.0,4.0,0.38,8.1,8.0,0.17,,5.4,,1.5,256.0,0.031,0.1,0.039,1.6,0.15,0.01,0.19,5.1,0.5
1994-01-12,12.2,0.7,48.0,7.5,1.2,5.0,0.32,6.3,6.5,0.18,,5.7,,7.4,278.0,0.031,0.1,0.026,1.7,0.11,0.01,0.22,6.0,0.5
1994-02-15,12.9,0.8,46.0,8.4,1.1,7.0,0.26,5.8,8.6,0.19,,5.7,,0.6,261.0,0.031,0.1,0.013,1.6,0.055,0.01,0.19,5.4,0.5
1994-03-15,10.8,1.2,32.0,8.1,1.0,47.0,0.28,6.9,11.8,0.17,,5.8,,1.6,188.0,0.031,0.1,0.039,1.2,0.078,0.01,0.14,3.3,0.6
1994-04-13,9.9,1.5,33.0,7.8,0.8,4.0,,7.0,11.9,,,5.6,,2.7,190.0,,0.1,,1.1,,,0.15,3.2,0.8
1994-05-11,10.7,1.8,43.0,7.4,1.1,4.0,0.26,7.5,15.7,0.18,,5.6,,10.0,250.0,0.031,0.1,0.026,1.0,0.055,0.01,0.19,4.1,0.6
1994-06-22,10.0,1.0,43.0,8.2,1.3,4.0,0.25,9.2,27.8,0.18,,4.1,,1.6,257.0,0.031,0.1,0.026,2.0,0.05,0.01,0.2,5.0,0.7
1994-06-28,8.59,,,7.880000000000001,,,,,27.390000000000004,,,,,,253.1,,,,,,,,,
1994-07-13,8.0,0.8,45.0,8.2,1.4,26.0,0.25,8.7,23.6,0.2,,3.8,,1.7,273.0,0.031,0.1,0.013,1.8,0.05,0.01,0.21,5.5,0.6
