date,00300_cd,00681_cd,00915_cd,00400_cd,00930_cd,80154_cd,00600_cd,00955_cd,00010_cd,00605_cd,00410_cd,00945_cd,00440_cd,00405_cd,00095_cd,00660_cd,00950_cd,71846_cd,00940_cd,00618_cd,00665_cd,70303_cd,00925_cd,00935_cd
1998-08-05,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1998-09-09,,,,,,,<,,,<,,,,,,,<,,,<,,,,
1998-10-20,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
1998-11-18,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
1998-12-07,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1999-01-21,,,,,,,,,,<,,,,,,<,<,<,,,,,,
1999-02-17,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1999-03-24,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1999-04-06,,,,,,,,,,<,,,,,,,<,<,,,<,,,
1999-05-10,,,,,,,E,,,E,,,,,,,<,,,,<,,,
1999-06-09,,,,,,,E,,,<,,,,,,,<,<,,,,,,
1999-07-08,,,,,,,,,,,,,,,,,<,,,,<,,,
1999-08-05,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-08,,,,,,,<,,,<,,,,,,<,<,<,,,,,,
1999-10-20,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1999-11-16,,,,,,,<,,,<,,,,,,<,,<,,<,<,,,
1999-12-20,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-01-25,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-02-23,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-03-14,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-04-12,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-05-09,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
2000-06-07,,,,,,,E,,,<,,,,,,<,<,<,,,<,,,
2000-07-05,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-08-03,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-09-06,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
2000-10-11,,,,,,,<,,,<,,,,,,<,<,<,,E,<,,,
2000-11-08,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
2000-12-19,,,,,,,E,,,<,,,,,,<,<,<,,,<,,,
2001-02-08,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
2001-03-06,,,,,,,E,,,<,,,,,,<,<,<,,,<,,,
2001-04-18,,,,,,,<,,,<,,,,,,<,<,<,,E,E,,,
2001-05-24,,,,,,,E,,,<,,,,,,<,<,<,,,<,,,
2001-06-27,,,,,,,,,,<,,,,,,<,<,<,,E,E,,,
2001-07-18,,,,,,,,,,<,,,,,,<,<,<,,,<,,,
2001-08-15,,,,,,,E,,,<,,,,,,<,<,<,,E,E,,,
2001-09-12,,,,,,,E,,,<,,,,,,<,<,<,,,E,,,
2001-11-21,,,,,,,E,,,<,,,,,,<,,<,,E,E,,,
2001-12-13,,,,,,,<,,,<,,,,,,<,,<,,,E,,,
2002-01-10,,,,,,,<,,,<,,,,,,<,,<,,,E,,,
2002-02-13,,,,,,,,,,,,,,,,<,,,,,,,,
2002-03-13,,,,,,,E,,,<,,,,,,<,,<,,,,,,
2002-05-09,,,,,,,,,,<,,,,,,<,,<,,,,,,
2002-07-10,,,,,,,E,,,<,,,,,,<,,<,,,,,,
2002-09-10,,,,,,,E,,,<,,,,,,<,,<,,,,,,
2002-11-27,,,,,,,<,,,<,,,,,,<,,<,,E,<,,,
2002-12-11,,,,,,,<,,,<,,,,,,<,,<,,E,E,,,
2003-01-15,,,,,,,,,,<,,,,,,<,,<,,,E,,,
2003-02-20,,,,,,,<,,,<,,,,,,<,,,,E,E,,,
2003-03-12,,,,,,,E,,,<,,,,,,<,,<,,,E,,,
2003-05-21,,,,,,,,,,<,,,,,,<,,<,,,,,,
2003-07-09,,,,,,,E,,,<,,,,,,<,,<,,,,,,
2003-09-02,,,,,,,,,,<,,,,,,<,,<,,,,,,
2003-11-13,,,,,,,,,,<,,,,,,<,,<,,E,E,,,
2003-12-16,,,,,,,,,,<,,,,,,<,,<,,,<,,,
2004-01-15,,,,,,,,,,<,,,,,,<,,<,,,E,,,
2004-02-18,,,,,,,,,,<,,,,,,<,,<,,,<,,,
2004-03-29,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,,,,,,,,,<,,,,,,<,,<,,E,<,,,
2004-05-13,,,,,,,,,,<,,,,,,<,,<,,,E,,,
2004-07-08,,,,,,,,,,<,,,,,,<,,<,,E,<,,,
2004-08-24,,,,,,,,,,<,,,,,,<,,<,,E,E,,,
2004-11-10,,,,,,,,,,<,,,,,,<,,<,,,<,,,
2005-01-05,,,,,,,,,,<,,,,,,<,,<,,E,,,,
2005-03-03,,,,,,,,,,<,,,,,,E,,<,,E,E,,,
2005-05-03,,,,,,,,,,<,,,,,,<,,<,,E,E,,,
2005-07-07,,,,,,,,,,<,,,,,,<,,<,,,E,,,
2005-09-28,,,,,,,,,,<,,,,,,<,,<,,,E,,,
2005-11-08,,,,,,,,,,<,,,,,,<,,<,,<,E,,,
2006-01-04,,,,,,,,,,<,,,,,,<,,<,,E,<,,,
2006-03-23,,,,,,,,,,<,,,,,,<,,<,,,E,,,
2006-05-17,,,,,,,,,,,,,,,,<,,,,E,E,,,
2006-06-19,,,,,,,,,,<,,,,,,E,,<,,E,E,,,
2006-07-18,,,,,,,,,,,,,,,,E,,,,E,,,,
2006-09-06,,,,,,,,,,E,,,,,,E,,,,E,<,,,
2007-02-07,,,,,,,,,,<,,,,,,E,,<,,E,<,,,
2007-03-22,,,,,,,,,,E,,,,,,<,,E,,,E,,,
2007-05-03,,,,,,,,,,E,,,,,,<,,E,,,<,,,
2007-05-22,,,,,,,,,,E,,,,,,<,,E,,E,<,,,
2007-06-27,,,,,,,,,,<,,,,,,E,,<,,,<,,,
2007-07-25,,,,,,,,,,,,,,,,E,,,,,E,,,
2007-08-29,,,,,,,,,,E,,,,,,<,,E,,E,<,,,
2007-09-18,,,,,,,,,,<,,,,,,E,,<,,,<,,,
2007-10-31,,,,,,,,,,,,,,,,E,,,,,<,,,
2007-12-17,,,,,,,,,,<,,,,,,E,,<,,,<,,,
2008-01-03,,,,,,,,,,,,,,,,<,,,,,E,,,
2008-02-26,,,,,,,,,,E,,,,,,E,,E,,,<,,,
2008-03-26,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-22,,,,,,,,,,<,,,,,,E,,<,,E,<,,,
2008-06-11,,,,,,,,,,,,,,,,<,,,,,<,,,
2008-09-24,,,,,,,,,,<,,,,,,E,,<,,,<,,,
2009-03-17,,,,,,,,,,<,,,,,,<,,<,,,<,,,
